name,type,cohort,tier,icp_fit,source,source_detail,source_conference,owner,standin,engineering_lead,exec_sponsor,stage,arr,website,domain,linkedin_url,industry,hq_location,employee_count,annual_revenue,founded_year,ams_system,technologies,specialties,drive_folder_url,category,champion,health_score,notes
Silent Sports,Broker,AI_Investments,,,Existing,status=active,,Kyle,,,,prospect,12000,http://www.silentsportsinsurance.com,silentsportsinsurance.com,,,"Knoxville, Iowa",,29260000,1946,Unknown,ASP.NET; CloudFlare Hosting; Cloudflare DNS; Gmail; Google Analytics; Google Apps; Google Font API; YouTube,Sports & Recreation Insurance; Bicycle Events; Silent Sports; General Liability; Accident Medical; Directors & Officers; Event Insurance,https://drive.google.com/drive/folders/1oZb1Z3YZn7yJUQm6hzJfg-VIpB8-PbL-,,Meg,62,"Sports/recreation insurance. UW assistant pilot. 5 meetings since Sep 2024. McKay Insurance Agency operates Silent Sports Insurance, specializing in liability and accident coverage for bicycle clubs, races, and silent sport events nationwide. Differentiators: Specialized silent sports focus, Nationwide coverage for bicycle events, Online application system, Occurrence-based coverage, Claims by athletic participants included"
Spinnaker Insurance,MGA_MGU,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / MGA,,,,,,,,,Cat 2B,,,Dir of Biz Dev. MGA/AI openness.
Surety First,MGA_MGU,AI_Investments,,,Existing,status=active,,,,,,prospect,6000,http://www.californiacontractorbonds.com,californiacontractorbonds.com,http://www.linkedin.com/company/surety-first,insurance,"Folsom, California",3,,2006,,Adobe Media Optimizer; Amazon AWS; Bing Ads; Cedexis Radar; CloudFlare Hosting; Cloudflare DNS; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Gmail,contractors insurance; workers comp insurance; business insurance; bonds; bond claim process california; llc employee/worker bond california; construction; encroachment bond california; bond security; bond compliance california,,,Jeremy Schaedler,88,
Tokio Marine HCC,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / Specialty,"Houston, TX","3,000+",,,,,,,Cat 2B,,,Specialty Underwriter.
Tricura Insurance Group,MGA_MGU,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / MGA,,,,,,,,,Cat 2B,,,Backend Engineer.
Troutman Pepper,Other,Prospect,,Low,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Legal,,"1,000+",,,,,,,Cat 1,,,Law firm. Compliance angle. Meeting held 4/7.
Turbo Insurance Group,Broker,Prospect,,,Existing,status=negotiation,,,,,,prospect,,,,,,,,,,Easy Links,,,,,John Kresevic (CEO),62,
VO2 Partners,VC,Prospect,,N/A,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,VC / IB,,,,,,,,,Cat 2A,,,Jake Pilecki. VC/IB. Investor/partner angle.
VeryFair,InsurTech,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Cam,,,,prospect,,,,,InsurTech,,Startup,,,,,,,Cat 1,,,"Anton Bogdanov, Founder. Partnership. Rescheduled."
WBC Risk Partners,Broker,Prospect,,,Conference,ALER26,ALER26 Spring 2026,,,,,prospect,,,,,,,,,,,,,,,,,ALER26 Mar 15. Will Cheek. Solo operator. Frontier learning partner candidate.
WPS Health Solutions,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / Health,"Madison, WI","1,000+",,,,,,,Cat 1,,,Dir Channel Partnerships. Megan Willauer. Meeting was Apr 9 (overdue).
Workers Compensation Trust,Carrier,Prospect,,,Existing,status=prospect,,,,,,prospect,,,,,,,,,,,,,,,,at-risk,Contact: Nina Muniz. Discovery call Jan 23.
intx. Insurance Software,InsurTech,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,InsurTech,,,,,,,,,Cat 2C,,,Head of Operations.
